the_geom,PlaceID,YearPlaceID,City,State,CityState,Year,AsOfDate,dockID,dockCt,stationCt_pct,stationCt_bin,dockNm,docklessCt,dockless_bin,docklessNm,scooterCt,scooter_bin,scooterNm,Type,Lat,Lon,Notes,fips,datedocklaunch,datedockclosed
POINT (-118.19373950000002 33.7700504),CA0018,2015CA0018,Long Beach,CA,"Long Beach, CA","2,015","201,512",,,,,-,0,,-,0,,-,,33.77005,-118.19374,,6037,,
POINT (-110.769167 43.475278),WY00231,2015WY00231,Jackson,WY,"Jackson, WY","2,015","201,512",,,,,-,0,,-,0,,-,,43.475278,-110.769167,,56039,,
POINT (-71.0588801 42.3600825),MA0098,2015MA0098,Boston,MA,"Boston, MA","2,015","201,512",1,140,4.16,3,Hubway (03/2018 re-launched as Blue Bikes),0,,-,0,,-,Docked only,42.360082,-71.05888,,25025,07/2011,
POINT (-82.709167 41.446667),OH00170,2018OH00170,Sandusky,OH,"Sandusky, OH","2,018","201,812",,,,,-,0,,-,0,,-,,41.446667,-82.709167,,39043,,
POINT (-71.0328284 42.3917638),MA00100,2015MA00100,Chelsea,MA,"Chelsea, MA","2,015","201,512",,,,,-,0,,-,0,,-,,42.391764,-71.032828,,25025,,
POINT (-85.833348 33.655134),AL00246,2018AL00246,Anniston,AL,"Anniston, AL","2,018","201,812",,,,,-,0,,-,0,,-,,33.655134,-85.833348,,1015,,
POINT (-85.7584557 38.2526647),KY0093,2015KY0093,Louisville,KY,"Louisville, KY","2,015","201,512",,,,,-,0,,-,0,,-,,38.252665,-85.758456,,21111,,
POINT (-93.2650108 44.977753),MN00132,2020MN00132,Minneapolis,MN,"Minneapolis, MN","2,020","202,006",25,225,3.38,3,Nice Ride Minnesota (became partially dockless in 2018),0,,-,2,2,"Bird, Lyft",Docked and e-scooters,44.977753,-93.265011,,27053,06/2010,
POINT (-105.1019275 40.1672068),CO0045,2019CO0045,Longmont,CO,"Longmont, CO","2,019","201,912",90,10,0.15,1,Longmont,0,,-,0,,-,Docked only,40.167207,-105.101928,,8013,04/2017,Jun-20
POINT (-81.0998342 32.0835407),GA0069,2015GA0069,Savannah,GA,"Savannah, GA","2,015","201,512",46,2,0.06,1,CAT B-cycle,0,,-,0,,-,Docked only,32.083541,-81.099834,,13051,01/2014,Dec-18
POINT (-80.16500000000002 25.690278),FL0052,2016FL0052,Key Biscayne,FL,"Key Biscayne, FL","2,016","201,612",,,,,-,0,,-,0,,-,,25.690278,-80.165,,12086,,
POINT (-86.7816016 36.1626638),TN00192,2017TN00192,Nashville,TN,"Nashville, TN","2,017","201,712",21,36,0.59,1,Nashville B-cycle,1,1,Ofo,0,,-,All bikes,36.162664,-86.781602,,47037,12/2012,
POINT (-86.158068 39.768403),IN0087,2016IN0087,Indianapolis,IN,"Indianapolis, IN","2,016","201,612",48,29,0.6,1,Indiana Pacers Bikeshare,0,,-,0,,-,Docked only,39.768403,-86.158068,,18097,10/2014,
POINT (-71.0588801 42.3600825),MA0098,2018MA0098,Boston,MA,"Boston, MA","2,018","201,812",1,191,2.76,2,Hubway (03/2018 re-launched as Blue Bikes),0,,-,0,,-,Docked only,42.360082,-71.05888,,25025,07/2011,
POINT (-87.9064736 43.0389025),WI00229,2020WI00229,Milwaukee,WI,"Milwaukee, WI","2,020","202,006",50,69,1.04,2,Bublr Bikes,0,,-,0,,-,Docked only,43.038902,-87.906474,,55079,08/2014,
POINT (-81.9498042 28.0394654),FL0054,2020FL0054,Lakeland,FL,"Lakeland, FL","2,020","202,006",,,,,-,0,,-,0,,-,,28.039465,-81.949804,,12105,,
POINT (-80.295169 25.710278),FL0062,2017FL0062,South Miami,FL,"South Miami, FL","2,017","201,712",,,,,-,1,1,Ofo,0,,-,Dockless only,25.710278,-80.295169,,12086,,
POINT (-95.503889 30.1775),TX00206,2016TX00206,The Woodlands,TX,"The Woodlands, TX","2,016","201,612",,,,,-,0,,-,0,,-,,30.1775,-95.503889,,48339,,
POINT (-73.212072 44.4758825),VT00223,2017VT00223,Burlington,VT,"Burlington, VT","2,017","201,712",,,,,-,0,,-,0,,-,,44.475882,-73.212072,,50007,,
POINT (-77.020791 39.002441),MD00122,2015MD00122,Silver Spring,MD,"Silver Spring, MD","2,015","201,512",,,,,-,0,,-,0,,-,,39.002441,-77.020791,,24031,,
POINT (-74.4073736 40.6337136),NJ00152,2015NJ00152,Plainfield,NJ,"Plainfield, NJ","2,015","201,512",,,,,-,0,,-,0,,-,,40.633714,-74.407374,,34039,,
POINT (-110.926479 32.2217429),AZ009,2019AZ009,Tucson,AZ,"Tucson, AZ","2,019","201,912",110,36,0.53,1,tugo,0,,-,2,2,"Bird, Razor (Pilot)",Docked and e-scooters,32.221743,-110.926479,,4019,11/2017,
POINT (-122.2416355 37.7652065),CA0010,2016CA0010,Alameda,CA,"Alameda, CA","2,016","201,612",,,,,-,0,,-,0,,-,,37.765206,-122.241636,,6001,,
POINT (-122.87559490000001 42.3265152),OR00178,2015OR00178,Medford,OR,"Medford, OR","2,015","201,512",68,6,0.18,1,Zagstar Jackson County,0,,-,0,,-,Docked only,42.326515,-122.875595,,41029,07/2015,Jun-20
POINT (-75.593333 38.365833),MD00121,2016MD00121,Salisbury,MD,"Salisbury, MD","2,016","201,612",,,,,-,0,,-,0,,-,,38.365833,-75.593333,,24045,,
POINT (-97.132804 33.206493),TX00243,2016TX00243,Denton,TX,"Denton, TX","2,016","201,612",,,,,-,0,,-,0,,-,,33.206493,-97.132804,,48121,,
POINT (-74.4073736 40.6337136),NJ00152,2018NJ00152,Plainfield,NJ,"Plainfield, NJ","2,018","201,812",,,,,-,0,,-,1,1,Lime,E-scooters only,40.633714,-74.407374,,34039,,
